effect,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
hihat_humming,9.36521,-1.90452,-0.251081,-0.44787,-0.206172,-0.297222,-0.141983,-0.152208,-0.135025,-0.14098,-0.0767777,0.00523712,-0.0334959
hihat_humming,9.00503,-1.88275,-0.264908,-0.329063,-0.0848893,-0.262365,-0.06863,-0.157671,-0.215525,-0.14046,-0.0670185,-0.0454117,-0.00737193
hihat_humming,9.51783,-1.44594,-0.350706,-0.278466,-0.0888138,-0.346111,-0.205923,-0.209213,-0.207436,-0.228348,-0.12275,-0.00579479,-0.0213394
hihat_humming,10.1528,-1.64307,-0.703132,-0.415198,-0.00624722,-0.236673,-0.167867,-0.194028,-0.197861,-0.210961,-0.0955969,0.0220004,-0.0646848
hihat_humming,9.85264,-1.49132,-0.376081,-0.433786,-0.126543,-0.258061,-0.214149,-0.197936,-0.229893,-0.242178,-0.0664637,-0.00559483,-0.0567067
hihat_humming,10.4716,-2.29485,-0.237243,-0.464418,-0.246236,-0.258664,-0.112372,-0.159809,-0.225615,-0.143889,-0.0867953,-0.0263434,-0.010931
hihat_humming,10.1067,-1.96864,-0.212823,-0.607642,-0.205686,-0.272469,-0.180369,-0.203774,-0.230878,-0.125414,-0.0512066,0.0121333,-0.0449827
hihat_humming,10.704,-1.66792,-0.23171,-0.562183,-0.278425,-0.393447,-0.193609,-0.289839,-0.189434,-0.147149,-0.0566741,0.0200262,-0.00201534
hihat_humming,10.391,-1.93021,-0.282721,-0.516131,-0.130532,-0.294876,-0.141515,-0.200866,-0.19791,-0.184917,-0.0867768,-0.0581596,-0.0911348
hihat_humming,10.3001,-2.0259,-0.282128,-0.488163,-0.108726,-0.279335,-0.12484,-0.28606,-0.207479,-0.0880159,-0.053738,0.000896039,-0.0502893
hihat_humming,9.68991,-2.01651,-0.359188,-0.442313,-0.194683,-0.293704,-0.15047,-0.271078,-0.0909609,-0.0288525,-0.0276642,0.0376876,0.00383778
hihat_humming,10.3831,-1.85083,-0.287367,-0.586714,-0.226853,-0.411172,-0.164691,-0.281725,-0.253012,-0.095514,-0.0404719,0.00328887,-0.0392675
hihat_humming,9.68285,-2.19491,-0.14545,-0.476807,-0.159308,-0.343025,-0.0675244,-0.171982,-0.208342,-0.081253,-0.0793769,0.0169533,-0.066278
hihat_humming,9.03416,-2.07839,-0.334056,-0.346933,-0.0909696,-0.235622,-0.0933237,-0.192101,-0.12426,-0.0750372,-0.0762562,0.0115772,-0.0278746
hihat_humming,9.93847,-1.9363,-0.549564,-0.481936,-0.1354,-0.26898,-0.268957,-0.0466425,-0.194975,-0.0867922,-0.0240534,-0.00497223,0.00144592
hihat_humming,9.91523,-2.12867,-0.151438,-0.523064,-0.139865,-0.384032,-0.134663,-0.186082,-0.154291,-0.0686278,-0.0748829,0.0235964,-0.0262107
hihat_humming,9.691,-2.11386,-0.151137,-0.484401,-0.179426,-0.380698,-0.173603,-0.189202,-0.0958551,-0.0684295,-0.0748116,0.00999966,-0.00643304
hihat_humming,9.61704,-1.69991,-0.261221,-0.495866,-0.289678,-0.374228,-0.144674,-0.194233,-0.161963,-0.0760119,-0.0417547,-0.00375939,-0.0433348
hihat_humming,10.4045,-2.29611,-0.267012,-0.44104,-0.172953,-0.3939,-0.105738,-0.108634,-0.171395,-0.126505,-0.0846865,-0.00136981,-0.03344
hihat_humming,10.1716,-1.78034,-0.287878,-0.570322,-0.206443,-0.357566,-0.176569,-0.23603,-0.17451,-0.122044,-0.0582423,0.029642,0.014635
hihat_humming,9.57247,-2.12689,-0.118718,-0.462085,-0.116381,-0.363294,-0.154877,-0.166118,-0.161402,-0.0870812,-0.0504668,-0.0251688,-0.0506417
hihat_humming,10.0401,-2.0636,-0.210426,-0.568018,-0.169159,-0.265265,-0.15985,-0.11851,-0.186007,-0.110144,-0.066538,0.0035748,-0.019404
hihat_humming,9.89444,-2.10061,-0.212075,-0.435522,-0.188212,-0.347447,-0.121891,-0.155031,-0.242493,-0.150087,-0.0597839,-0.00903879,-0.0133296
hihat_humming,9.97232,-1.76787,-0.301574,-0.534709,-0.270291,-0.140909,-0.0784906,-0.249308,-0.199909,-0.126063,-0.0593557,0.0288264,-0.0260563
hihat_humming,8.88693,-2.18544,-0.137161,-0.3018,-0.206006,-0.205896,-0.161113,-0.139629,-0.112505,-0.078585,-0.102888,0.00524146,-0.00965435
hihat_humming,8.31797,-2.05479,-0.286754,-0.369368,-0.120045,-0.162946,-0.143333,-0.137603,-0.097964,-0.0867822,-0.0469129,-0.0127478,-0.0455437
hihat_humming,9.63922,-1.71717,-0.32902,-0.310955,-0.21974,-0.257932,-0.193066,-0.196914,-0.258172,-0.147658,-0.0775998,0.0239757,-0.0399774
hihat_power ferme,12.7675,-1.5759,-0.50264,-0.346561,-0.242087,-0.29871,-0.629799,-0.381013,-0.279503,-0.123159,-0.117025,-0.150953,-0.082169
hihat_power ferme,12.3924,-1.74157,-0.565858,-0.385128,-0.294956,-0.399534,-0.476106,-0.332155,-0.289738,-0.190198,-0.088176,-0.081299,-0.0708887
hihat_power ferme,12.2103,-1.57729,-0.568962,-0.345842,-0.34427,-0.43139,-0.530656,-0.294348,-0.199938,-0.125023,-0.0306795,-0.0835514,-0.072856
hihat_power ferme,13.4858,-1.72671,-0.517232,-0.416201,-0.376788,-0.386813,-0.554606,-0.346524,-0.25641,-0.202682,-0.132089,-0.0438046,-0.0688494
